Symbol,Name,Price,Change,% Change,Volume,Avg Vol,Market Cap (Billions),PE Ratio
BR,Broadridge Financial Solutions Inc.,147.58,2.66,0.0184,325007,449756,17.063,36.63
HUBS,HubSpot Inc.,370.94,-0.49,-0.0013,296513,451424,17.022,NaN
QRVO,Qorvo Inc.,149.20,1.81,0.0123,1256000,1202000,17.017,39.33
CHKP,Check Point Software Technologies Ltd.,119.86,0.96,0.0081,549992,966038,16.804,20.54
AKAM,Akamai Technologies Inc.,102.81,0.49,0.0048,902929,1639000,16.737,30.14
TYL,Tyler Technologies Inc.,413.52,-0.95,-0.0023,120383,238535,16.676,90.94
CCC,Clarivate Plc,27.34,-0.32,-0.0116,1025000,1310000,16.567,NaN
UI,Ubiquiti Inc.,244.17,-1.47,-0.0060,43392,137364,15.331,48.86
ZEN,Zendesk Inc.,127.32,0.77,0.0061,960632,1428000,14.855,NaN
CTXS,Citrix Systems Inc.,120.16,-0.32,-0.0027,1354000,1500000,14.795,25.69
TRMB,Trimble Inc.,58.96,0.65,0.0111,664047,1023000,14.750,30.50
AVLR,Avalara Inc.,172.60,4.46,0.0265,498804,644158,14.597,NaN
STX,Seagate Technology plc,56.92,1.31,0.0236,2826000,2914000,14.625,14.53
